OrderId,PalletId,ItemId,ProductId,X,Y,Z,Length,Width,Height,Weight,IsRotated,PalletLength,PalletWidth,PalletMaxHeight,Color
70138,1,8,10122,0.00,0.00,0.00,760.00,2600.00,60.00,11.86,False,2600.00,2600.00,1400.00,#E060D3
70138,1,9,10122,760.00,0.00,0.00,760.00,2600.00,60.00,11.86,False,2600.00,2600.00,1400.00,#E060D3
70138,1,1,99769,1520.00,0.00,0.00,1000.00,2600.00,60.00,15.60,False,2600.00,2600.00,1400.00,#5F43E9
70138,1,2,99769,0.00,0.00,60.00,1000.00,2600.00,60.00,15.60,False,2600.00,2600.00,1400.00,#5F43E9
70138,1,3,99769,1000.00,0.00,60.00,1000.00,2600.00,60.00,15.60,False,2600.00,2600.00,1400.00,#5F43E9
70138,1,16,85667,2000.00,0.00,60.00,500.00,2600.00,60.00,7.80,False,2600.00,2600.00,1400.00,#4640EC
70138,1,23,44647,0.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,24,44647,180.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,25,44647,360.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,26,44647,540.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,27,44647,720.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,28,44647,900.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,29,44647,1080.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,30,44647,1260.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,31,44647,1440.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,32,44647,1620.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,33,44647,1800.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,34,44647,1980.00,0.00,120.00,180.00,2600.00,60.00,2.81,False,2600.00,2600.00,1400.00,#55E691
70138,1,17,35003,2160.00,0.00,120.00,330.00,2600.00,60.00,5.15,False,2600.00,2600.00,1400.00,#54EDBC
70138,1,18,35003,0.00,0.00,180.00,330.00,2600.00,60.00,5.15,False,2600.00,2600.00,1400.00,#54EDBC
70138,1,19,35003,330.00,0.00,180.00,330.00,2600.00,60.00,5.15,False,2600.00,2600.00,1400.00,#54EDBC
70138,1,20,35003,660.00,0.00,180.00,330.00,2600.00,60.00,5.15,False,2600.00,2600.00,1400.00,#54EDBC
70138,1,21,35003,990.00,0.00,180.00,330.00,2600.00,60.00,5.15,False,2600.00,2600.00,1400.00,#54EDBC
70138,1,22,35003,1320.00,0.00,180.00,330.00,2600.00,60.00,5.15,False,2600.00,2600.00,1400.00,#54EDBC
70138,1,4,34894,0.00,0.00,240.00,1000.00,2400.00,60.00,14.40,False,2600.00,2600.00,1400.00,#E358E8
70138,1,5,34894,0.00,0.00,300.00,1000.00,2400.00,60.00,14.40,False,2600.00,2600.00,1400.00,#E358E8
70138,1,6,34894,0.00,0.00,360.00,1000.00,2400.00,60.00,14.40,False,2600.00,2600.00,1400.00,#E358E8
70138,1,7,39563,1650.00,0.00,180.00,820.00,2600.00,60.00,12.79,False,2600.00,2600.00,1400.00,#72E06A
70138,1,10,47077,1000.00,0.00,240.00,670.00,2600.00,60.00,10.45,False,2600.00,2600.00,1400.00,#EE53AD
70138,1,11,47077,1670.00,0.00,240.00,670.00,2600.00,60.00,10.45,False,2600.00,2600.00,1400.00,#EE53AD
70138,1,12,47077,1000.00,0.00,300.00,670.00,2600.00,60.00,10.45,False,2600.00,2600.00,1400.00,#EE53AD
70138,1,13,47077,1670.00,0.00,300.00,670.00,2600.00,60.00,10.45,False,2600.00,2600.00,1400.00,#EE53AD
70138,1,14,47077,1000.00,0.00,360.00,670.00,2600.00,60.00,10.45,False,2600.00,2600.00,1400.00,#EE53AD
70138,1,15,47077,1670.00,0.00,360.00,670.00,2600.00,60.00,10.45,False,2600.00,2600.00,1400.00,#EE53AD
